"Title","URL"
"Deep Exhaustive Model for Nested Named Entity Recognition","https://vimeo.com/306057139"
"Evaluating the Utility of Hand-crafted Features in Sequence Labelling","https://vimeo.com/306112516"
"Improved Dependency Parsing using Implicit Word Connections Learned from Unlabeled Data","https://vimeo.com/305667813"
"A Framework for Understanding the Role of Morphology in Universal Dependency Parsing","https://vimeo.com/305925065"
"The Lazy Encoder: A Fine-Grained Analysis of the Role of Morphology in Neural Machine Translation","https://vimeo.com/305670159"
"Imitation Learning for Neural Morphological String Transduction","https://vimeo.com/305671668"
"An Encoder-Decoder Approach to the Paradigm Cell Filling Problem","https://vimeo.com/305674091"
"Zero-shot User Intent Detection via Capsule Neural Networks","https://vimeo.com/305945714"
"Hierarchical Neural Networks for Sequential Sentence Classification in Medical Scientific Abstracts","https://vimeo.com/305946571"
"Investigating Capsule Networks with Dynamic Routing for Text Classification","https://vimeo.com/305947408"
"Topic Memory Networks for Short Text Classification","https://vimeo.com/305947994"
"Few-Shot and Zero-Shot Multi-Label Learning for Structured Label Spaces","https://vimeo.com/305948835"
"Automatic Poetry Generation with Mutual Reinforcement Learning","https://vimeo.com/305925622"
"Variational Autoregressive Decoder for Neural Response Generation","https://vimeo.com/305926196"
"Integrating Transformer and Paraphrase Rules for Sentence Simplification","https://vimeo.com/305927122"
"Learning Neural Templates for Text Generation","https://vimeo.com/305928599"
"Multi-Reference Training with Pseudo-References for Neural Translation and Text Generation","https://vimeo.com/305929800"
"Knowledge Graph Embedding with Hierarchical Relation Structure","https://vimeo.com/306112939"
"Embedding Multimodal Relational Data for Knowledge Base Completion","https://vimeo.com/306113486"
"Multi-Task Identification of Entities, Relations, and Coreference for Scientific Knowledge Graph Construction","https://vimeo.com/306113930"
"Playing 20 Question Game with Policy-Based Reinforcement Learning","https://vimeo.com/306114592"
"Multi-Hop Knowledge Graph Reasoning with Reward Shaping","https://vimeo.com/306115211"
"Neural Transductive Learning and Beyond: Morphological Generation in the Minimal-Resource Setting","https://vimeo.com/305676641"
"Implicational Universals in Stochastic Constraint-Based Phonology","https://vimeo.com/305679809"
"Explaining Character-Aware Neural Networks for Word-Level Prediction: Do They Discover Linguistic Rules?","https://vimeo.com/305681577"
"Adapting Word Embeddings to New Languages with Morphological and Phonological Subword Representations","https://vimeo.com/305683572"
"Beyond Error Propagation in Neural Machine Translation: Characteristics of Language Also Matter","https://vimeo.com/306146050"
"A Study of Reinforcement Learning for Neural Machine Translation","https://vimeo.com/306147010"
"Meta-Learning for Low-Resource Neural Machine Translation","https://vimeo.com/306147573"
"Unsupervised Statistical Machine Translation","https://vimeo.com/306148376"
"A Visual Attention Grounding Neural Model for Multimodal Machine Translation","https://vimeo.com/306149028"
"Sentiment Classification towards Question-Answering with Hierarchical Matching Network","https://vimeo.com/306126825"
"Cross-topic Argument Mining from Heterogeneous Sources","https://vimeo.com/306127543"
"Summarizing Opinions: Aspect Extraction Meets Sentiment Prediction and They Are Both Weakly Supervised","https://vimeo.com/306128219"
"CARER: Contextualized Affect Representations for Emotion Recognition","https://vimeo.com/306129121"
"Noise Contrastive Estimation and Negative Sampling for Conditional Models: Consistency and Statistical Efficiency","https://vimeo.com/306156327"
"CaLcs: Continuously Approximating Longest Common Subsequence for Sequence Level Optimization","https://vimeo.com/306157322"
"Pathologies of Neural Models Make Interpretations Difficult","https://vimeo.com/306158589"
"Phrase-level Self-Attention Networks for Universal Sentence Encoding","https://vimeo.com/306159624"
"BanditSum: Extractive Summarization as a Contextual Bandit","https://vimeo.com/306160623"
"A Word-Complexity Lexicon and A Neural Readability Ranking Model for Lexical Simplification","https://vimeo.com/306116474"
"Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data","https://vimeo.com/306117499"
"Syntactic Scaffolds for Semantic Structures","https://vimeo.com/306118515"
"Hierarchical Quantized Representations for Script Generation","https://vimeo.com/306119229"
"Semantic Role Labeling for Learner Chinese: the Importance of Syntactic Parsing and L2-L1 Parallel Data","https://vimeo.com/306119942"
"Joint Multitask Learning for Community Question Answering Using Task-Specific Embeddings","https://vimeo.com/306149753"
"What Makes Reading Comprehension Questions Easier?","https://vimeo.com/306150555"
"Commonsense for Generative Multi-Hop Question Answering Tasks","https://vimeo.com/306151626"
"Open Domain Question Answering Using Early Fusion of Knowledge Bases and Text","https://vimeo.com/306152381"
"Exploiting Deep Representations for Neural Machine Translation","https://vimeo.com/306130778"
"Why Self-Attention? A Targeted Evaluation of Neural Machine Translation Architectures","https://vimeo.com/306131741"
"Simplifying Neural Machine Translation with Addition-Subtraction Twin-Gated Recurrent Networks","https://vimeo.com/306132998"
"Speeding Up Neural Machine Translation Decoding by Cube Pruning","https://vimeo.com/306134160"
